Title length,Description length,View Count,Like Count,Dislike Count,Comment Count,month,year
9,30,4,0,0,0,9,2017
8,23,1250,11,0,6,10,2017
3,30,420,15,1,6,7,2016
2,0,25,0,0,0,4,2018
5,5,6840726,28779,3147,512,11,2019
11,30,61721,833,55,242,2,2018
5,30,838361,6611,964,3632,3,2015
7,28,1494842,22029,2288,7991,6,2015
6,26,32099146,751659,18496,130461,9,2010
7,23,5453959,18696,2236,NA,9,2008
12,28,4356813,13994,540,823,11,2009
3,3,7272,40,1,5,2,2016
5,20,136837,10,0,0,3,2015
9,25,292204,4323,144,708,11,2019
13,25,11,2,0,0,1,2020
8,30,1650210,NA,NA,NA,6,2019
7,29,19568147,204056,6703,55493,5,2016
6,30,83340,2227,47,501,11,2015
12,26,73,3,0,0,1,2019
9,25,1296793,13664,664,1919,4,2015
3,31,2762,50,9,12,3,2017
5,31,789820,2503,246,553,10,2013
8,16,3961,61,7,20,8,2017
7,32,168929,1774,94,463,1,2018
7,26,1535,5,0,0,5,2019
7,27,8358,300,8,26,7,2019
6,31,18741,24,1,4,11,2010
11,27,33770,903,16,0,7,2015
9,29,510003,6992,851,2949,1,2019
17,29,491,1,0,0,1,2018
4,26,342935,3122,52,261,6,2013
6,29,4641,194,4,14,12,2019
15,25,2065,8,1,5,3,2018
6,7,29154,78,10,18,9,2011
